expt_num,num_ groups,groups_compared,date,start_time,obs_num,elapsed_time,time_between,obs,by,on,ref_num,comment
3,2,24,29-May,10:19,25,21:45.6,00:39.4,S,L,S,,
3,2,24,29-May,10:19,26,21:51.0,00:05.3,S,S,S,,
3,2,24,29-May,10:19,27,22:12.1,00:21.1,S,L,I,,
3,2,24,29-May,10:19,28,22:28.7,00:16.6,S,S,I,,
3,2,24,29-May,10:19,29,22:47.5,00:18.8,S,S,I,,
3,2,24,29-May,10:19,30,22:48.2,00:00.6,C,S,S,,
3,2,24,29-May,10:19,31,22:48.2,00:00.6,C,S,S,,
3,2,24,29-May,10:19,32,22:52.8,00:04.7,L,S,,31,for one of the  captures fry swam away alive (loss)
3,2,24,29-May,10:19,33,25:05.5,02:06.9,S,L,I,,
3,2,24,29-May,10:19,34,25:55.7,00:50.2,CON,S,,30,(other one)
3,2,24,29-May,10:19,35,26:16.2,00:20.5,S,L,I,,
3,2,24,29-May,10:19,36,26:17.9,00:01.7,C,S,I,,
3,2,24,29-May,10:19,37,26:27.2,00:09.3,AT,L,S,,
3,2,24,29-May,10:19,38,26:42.9,00:15.7,S,L,I,,
3,2,24,29-May,10:19,39,26:49.0,00:06.2,C,L,I,,
3,2,24,29-May,10:19,40,26:51.1,00:02.1,CON,L,,39,
3,2,24,29-May,10:19,41,27:09.4,00:18.3,CON,S,,36,
3,2,24,29-May,10:19,42,27:27.1,00:17.7,S,L,I,,
4,2,24,29-May,10:56,1,00:05.2,00:05.2,C,S,S,,
4,2,24,29-May,10:56,2,00:19.7,00:14.5,C,L,S,,
4,2,24,29-May,10:56,3,01:09.5,00:49.8,CON,L,,2,
4,2,24,29-May,10:56,4,03:10.9,02:01.5,CON,S,,1,
4,2,24,29-May,10:56,5,03:23.3,00:12.3,S,S,I,,
4,2,24,29-May,10:56,6,03:24.2,00:01.0,C,S,I,,
4,2,24,29-May,10:56,7,03:33.3,00:09.1,C,L,I,,
4,2,24,29-May,10:56,8,03:37.2,00:03.9,C,L,I,,
4,2,24,29-May,10:56,9,03:48.3,00:11.1,CON,L,,8,
4,2,24,29-May,10:56,10,03:55.4,00:07.1,CON,S,,6,
4,2,24,29-May,10:56,11,04:16.5,00:21.1,AT,S,L,7,
4,2,24,29-May,10:56,12,04:42.7,00:26.2,CON,L,,7,
4,2,24,29-May,10:56,13,11:07.1,06:24.3,S,S,I,,
4,2,24,29-May,10:56,14,14:56.7,03:49.7,C,S,I,,
4,2,24,29-May,10:56,15,15:43.6,00:46.9,CON,S,,14,
4,2,24,29-May,10:56,16,16:10.6,00:27.0,S,G,S,,
4,2,24,29-May,10:56,17,19:28.7,03:18.1,S,L,S,,
4,2,24,29-May,10:56,18,23:04.3,03:35.5,S,L,S,,
4,2,24,29-May,10:56,19,24:23.4,01:19.1,S,S,S,,
4,2,24,29-May,10:56,20,24:38.3,00:14.9,S,S,I,,
4,2,24,29-May,10:56,21,25:26.1,00:47.8,C,S,I,,
4,2,24,29-May,10:56,22,26:14.6,00:48.5,S,L,S,,
4,2,24,29-May,10:56,23,27:00.2,00:45.6,AT,S,S,,
4,2,24,29-May,10:56,24,27:45.9,00:45.6,L,S,,21,
5,1,2,29-May,11:30,1,00:09.4,00:09.4,C,G,I,,
5,1,2,29-May,11:30,2,00:18.5,00:09.1,AT,G,G,,
5,1,2,29-May,11:30,3,00:31.9,00:13.4,T,,,,
5,1,2,29-May,11:30,4,00:36.6,00:04.7,CON,,,2,
5,1,2,29-May,11:30,5,00:47.4,00:10.8,C,,G,,
5,1,2,29-May,11:30,6,01:13.8,00:26.4,L,,,5,
5,1,2,29-May,11:30,7,06:05.6,04:51.8,S,,G,,
5,1,2,29-May,11:30,8,06:16.0,00:10.5,C,,G,,
5,1,2,29-May,11:30,9,06:24.9,00:08.8,S,G,G,,
5,1,2,29-May,11:30,10,06:51.6,00:26.8,S,I,G,,
5,1,2,29-May,11:30,11,06:57.8,00:06.2,S,G,G,,
5,1,2,29-May,11:30,12,07:08.8,00:04.1,CON,,,8,
5,1,2,29-May,11:30,13,08:59.5,01:50.8,S,I,G,,
5,1,2,29-May,11:30,14,09:49.7,00:50.2,C,,I,,
5,1,2,29-May,11:30,15,09:52.2,00:02.5,L,,,14,
5,1,2,29-May,11:30,16,09:58.3,00:06.0,C,,I,15,"14,16 same fry different coho"
5,1,2,29-May,11:30,17,10:00.9,00:02.7,AT,,,,
5,1,2,29-May,11:30,18,10:17.1,00:16.2,AT,,,,
5,1,2,29-May,11:30,19,10:32.5,00:15.4,CON,,,16,
5,1,2,29-May,11:30,20,10:46.3,00:13.8,C,I,G,,
5,1,2,29-May,11:30,21,11:12.6,00:26.3,S,I,G,,
5,1,2,29-May,11:30,22,11:15.3,00:02.7,CON,,,20,
5,1,2,29-May,11:30,23,11:37.7,00:22.4,S,I,I,,
5,1,2,29-May,11:30,24,11:40.3,00:02.6,C,I,I,,
5,1,2,29-May,11:30,25,11:45.4,00:05.1,AT,,,,
5,1,2,29-May,11:30,26,11:56.0,00:03.0,CON,,,24,
5,1,2,29-May,11:30,27,11:57.3,00:01.4,C,,,,
5,1,2,29-May,11:30,28,12:30.6,00:33.3,CON,,,27,
6,2,13,29-May,13:40,1,00:29.9,00:29.9,C,S,S,,
6,2,13,29-May,13:40,2,00:31.8,00:01.9,L,S,,1,
6,2,13,29-May,13:40,3,00:40.3,00:08.5,S,S,I,,
6,2,13,29-May,13:40,4,00:43.4,00:03.1,S,L,S,,
6,2,13,29-May,13:40,5,01:00.8,00:17.4,S,L,S,,
6,2,13,29-May,13:40,6,01:22.7,00:21.9,S,L,S,,
6,2,13,29-May,13:40,7,02:06.4,00:43.6,S,L,S,,
6,2,13,29-May,13:40,8,02:29.3,00:22.9,C,L,S,,
6,2,13,29-May,13:40,9,02:48.1,00:18.8,S,L,S,,
6,2,13,29-May,13:40,10,02:53.7,00:05.6,S,L,S,,
6,2,13,29-May,13:40,11,02:58.6,00:04.9,CON,L,,8,
6,2,13,29-May,13:40,12,03:33.5,00:35.0,S,G,S,,
6,2,13,29-May,13:40,13,03:47.0,00:13.5,S,S,I,,
6,2,13,29-May,13:40,14,04:18.9,00:31.9,S,L,S,,
6,2,13,29-May,13:40,15,05:08.5,00:49.5,S,L,S,,
6,2,13,29-May,13:40,16,05:19.7,00:11.2,C,L,I,,
6,2,13,29-May,13:40,17,06:03.4,00:43.7,CON,L,,16,
6,2,13,29-May,13:40,18,06:17.9,00:14.5,S,L,S,,
6,2,13,29-May,13:40,19,06:20.0,00:02.1,C,S,S,,
6,2,13,29-May,13:40,20,06:37.1,00:17.1,L,S,,19,
6,2,13,29-May,13:40,21,06:37.7,00:00.7,C,L,,20,this capture was lost but the loss was not recorded
6,2,13,29-May,13:40,22,06:43.3,00:05.6,C,S,S,,
6,2,13,29-May,13:40,23,06:59.8,00:16.4,AT,S,S,,
6,2,13,29-May,13:40,24,07:12.2,00:12.5,T,L,S,,
6,2,13,29-May,13:40,25,07:15.7,00:03.4,T,L,L,,
6,2,13,29-May,13:40,26,08:42.7,01:27.0,S,L,I,,
6,2,13,29-May,13:40,27,08:55.6,00:13.0,AT,L,L,,
6,2,13,29-May,13:40,28,09:25.1,00:29.5,CON,L,,25,
6,2,13,29-May,13:40,29,09:27.1,00:02.0,C,L,S,,
6,2,13,29-May,13:40,30,09:31.0,00:03.9,L,L,,29,
6,2,13,29-May,13:40,31,09:44.7,00:13.7,S,S,I,,
6,2,13,29-May,13:40,32,10:14.4,00:29.7,S,L,I,,
6,2,13,29-May,13:40,33,10:24.8,00:10.4,S,S,S,,
6,2,13,29-May,13:40,34,10:29.0,00:04.2,S,L,I,,
6,2,13,29-May,13:40,35,10:33.5,00:04.5,C,L,S,,
6,2,13,29-May,13:40,36,10:51.2,00:17.7,L,L,,35,
6,2,13,29-May,13:40,37,10:53.4,00:02.2,C,L,I,36,
6,2,13,29-May,13:40,38,11:17.3,00:23.9,CON,L,,37,
6,2,13,29-May,13:40,39,11:30.7,00:13.4,S,L,S,,
6,2,13,29-May,13:40,40,11:44.5,00:13.8,S,S,I,,
6,2,13,29-May,13:40,41,12:14.4,00:29.9,C,S,I,,
6,2,13,29-May,13:40,42,12:36.6,00:22.2,S,G,S,,
